"","X.1","X","Unique.ID","Experiment","Type","Tissue","Site","PI","Analysis","N","Plant.Number","ID.initial","Orignal.conc.sent","Orig.vol.sent","Orig.sample.sent..ug.","QC.RIN","QC.CONC","QC.total.sample.remaining..ug.","Status","JGI.Batch","Num","id","Plant.Type","Day_July","Treatment","Collector_July","Order_July","TubeSet1_MG_July","TubeSet2_MG_July","PD_LWP_July","MD_LWP_July","Tissue_Time_July","VWC_July","Period_July","library"
"F1_H040_457",227,227,235,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H040",457,"F1",NA,50,0,9.1,0.246,11.07,"PASS",1,457,"F1","Parent",1,"Dry","A",92,"H040.1","H040.2",8.5,32.5,"12:51",NA,NA,"F1_H040_457"
"F1_H005_732",37,37,45,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H005",732,"F1",164,50,8.2,8.6,0.201,9.045,"PASS",1,732,"F1","Parent",1,"Dry","A",57,"H005.1","H005.2",5,27.5,"12:13",7,0.79,"F1_H005_732"
"F1_H140_842",115,115,123,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H140",842,"F1",141,50,7.05,8.6,0.22,9.9,"PASS",1,842,"F1","Parent",1,"Dry","B",90,"H140.1","H140.2",5,48,"13:12",3,0.79,"F1_H140_842"
"F1_H148_386",319,319,327,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H148",386,"F1",157,50,7.8,9.6,0.209,9.405,"PASS",1,386,"F1","Parent",1,"Dry","B",98,"H148.1","H148.2",5,28,"13:23",6,0.82,"F1_H148_386"
"F1_H151_243",178,178,186,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H151",243,"F1",NA,50,0,9.6,0.301,13.545,"PASS",3,243,"F1","Parent",1,"Dry","B",101,"H151.1","H151.2",12,35,"13:27",7,0.83,"F1_H151_243"
"F1_G969_327",124,124,132,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","G969",327,"F1",168,50,8.4,8.6,0.251,11.295,"PASS",4,327,"F1","Parent",1,"Dry","A",22,"G969.1","G969.2",12,31,"11:28",6,0.82,"F1_G969_327"
"F1_G948_376",337,337,345,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","G948",376,"F1",148,50,7.4,3.5,0.239,10.755,"FAIL",NA,376,"F1","Parent",1,"Dry","A",1,"G948.1","G948.2",5.5,26.5,"10:58",NA,NA,"F1_G948_376"
"F1_H131_966",35,35,43,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H131",966,"F1",144,50,7.2,9.3,0.2,9,"PASS",4,966,"F1","Parent",1,"Dry","B",81,"H131.1","H131.2",20,42,"13:01",NA,NA,"F1_H131_966"
"F1_H021_969",377,377,385,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H021",969,"F1",279,50,13.9,9,0.353,15.885,"PASS",3,969,"F1","Parent",1,"Dry","A",73,"H021.1","H021.2",23.5,40.5,"12:30",5,0.81,"F1_H021_969"
"F1_H016.1_219",68,68,76,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H016.1",219,"F1",224,50,11.2,9.4,0.3055,13.7475,"PASS",3,219,"F1","Parent",1,"Dry","A",68,"H016.1","H016.2",6,26,"12:25",8,0.83,"F1_H016.1_219"
"F1_H042.1_688",71,71,79,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H042.1",688,"F1",257,50,12.827,8.1,0.262,11.79,"PASS",3,688,"F1","Parent",1,"Dry","A",94,"H042.1","H042.2",4.5,29.5,"12:53",NA,NA,"F1_H042.1_688"
"F1_H064_616",367,367,375,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H064",616,"F1",121,50,6,9.3,0.156,7.02,"PASS",3,616,"F1","Parent",1,"Dry","B",14,"H064.1","H064.2",3.5,29,"11:20",4,0.81,"F1_H064_616"
"F1_H107_918",125,125,133,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H107",918,"F1",61,50,3.05,8.7,0.072,3.24,"FAIL",NA,918,"F1","Parent",1,"Dry","B",57,"H107.1","H107.2",4,19.5,"12:24",5,0.81,"F1_H107_918"
"F1_H128_677",43,43,51,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H128",677,"F1",238,50,11.9,8.5,0.249,11.205,"PASS",2,677,"F1","Parent",1,"Dry","B",78,"H128.1","H128.2",2.5,25,"12:56",8,0.83,"F1_H128_677"
"F1_H347.1_410",86,86,94,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H347.1",410,"F1",162,50,8.1,9,0.246,11.07,"PASS",1,410,"F1","Parent",2,"Wet","B",93,"H347.1","H347.2",2.5,19,"13:09",NA,NA,"F1_H347.1_410"
"F1_H343_981",280,280,288,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H343",981,"F1",168,50,8.4,8.8,0.233,10.485,"PASS",1,981,"F1","Parent",2,"Wet","B",89,"H343.1","H343.2",3.5,20.5,"13:02",NA,NA,"F1_H343_981"
"F1_H229_417",288,288,296,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H229",417,"F1",141.2,50,7,8.5,0.194,8.73,"PASS",1,417,"F1","Parent",2,"Wet","A",77,"H229.1","H229.2",5,19,"12:54",NA,NA,"F1_H229_417"
"F1_H273_254",17,17,25,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H273",254,"F1",333,50,16.625,8.8,0.384,17.28,"PASS",1,254,"F1","Parent",2,"Wet","B",19,"H273.1","H273.2",6.5,25,"11:22",NA,NA,"F1_H273_254"
"F1_H231_250",277,277,285,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H231",250,"F1",184,50,9.2,8.6,0.232,10.44,"PASS",3,250,"F1","Parent",2,"Wet","A",79,"H231.1","H231.2",4,19,"12:56",NA,NA,"F1_H231_250"
"F1_H185_520",310,310,318,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H185",520,"F1",117.73,50,6,8.5,0.1495,6.7275,"PASS",2,520,"F1","Parent",2,"Wet","A",33,"H185.1","H185.2",3.5,14,"11:47",NA,NA,"F1_H185_520"
"F1_H352_759",220,220,228,"P_hallii_F2","RNA","leaf","field harvest","Juenger","eQTL","H352",759,"F1",NA,50,0,8.8,0.243,10.935,"PASS",2,759,"F1","Parent",2,"Wet","B",98,"H352.1","H352.2",3,19.5,"13:15",10,0.85,"F1_H352_759"
